year_quarter,year,quarter,year2,year2c,quarter_begin,quarter_end,quarter_after_begin,quarter_after,quarter_before,days_in_quarter,hours_in_quarter,weekdays,weekends,special_days,working_days,order_year_number
2019 4,2019,4,19,19,2019-12-31,2020-03-31,2020-04-01,2020-03-31,2019-09-30,1,24,1,0,0,1,0
2020 1,2020,1,20,20,2020-01-01,2020-04-30,2020-05-01,2020-06-30,2019-12-31,91,2184,65,26,1,64,1
2020 2,2020,2,20,20,2020-04-01,2020-07-31,2020-08-01,2020-09-30,2020-03-30,91,2184,65,26,1,64,1
2020 3,2020,3,20,20,2020-07-01,2020-10-31,2020-11-01,2020-12-30,2020-06-30,92,2208,66,26,0,66,1
2020 4,2020,4,20,20,2020-10-01,2021-01-31,2021-02-01,2021-03-31,2020-09-30,92,2208,66,26,2,65,1
2021 1,2021,1,21,21,2021-01-01,2021-04-30,2021-05-01,2021-06-30,2020-12-31,90,2160,64,26,1,63,2
2021 2,2021,2,21,21,2021-04-01,2021-07-31,2021-08-01,2021-09-30,2021-03-30,91,2184,65,26,1,65,2
2021 3,2021,3,21,21,2021-07-01,2021-10-31,2021-11-01,2021-12-30,2021-06-30,92,2208,66,26,0,66,2
2021 4,2021,4,21,21,2021-10-01,2022-01-31,2022-02-01,2022-03-31,2021-09-30,92,2208,66,26,2,66,2
2022 1,2022,1,22,22,2022-01-01,2022-04-30,2022-05-01,2022-06-30,2021-12-31,90,2160,64,26,1,64,3
2022 2,2022,2,22,22,2022-04-01,2022-07-31,2022-08-01,2022-09-30,2022-03-30,91,2184,65,26,1,65,3
2022 3,2022,3,22,22,2022-07-01,2022-10-31,2022-11-01,2022-12-30,2022-06-30,92,2208,66,26,0,66,3
2022 4,2022,4,22,22,2022-10-01,2023-01-31,2023-02-01,2023-03-31,2022-09-30,92,2208,65,27,2,64,3
2023 1,2023,1,23,23,2023-01-01,2023-04-30,2023-05-01,2023-06-30,2022-12-31,90,2160,65,25,1,65,4
2023 2,2023,2,23,23,2023-04-01,2023-07-31,2023-08-01,2023-09-30,2023-03-30,91,2184,65,26,1,64,4
2023 3,2023,3,23,23,2023-07-01,2023-10-31,2023-11-01,2023-12-30,2023-06-30,92,2208,65,27,0,65,4
2023 4,2023,4,23,23,2023-10-01,2024-01-31,2024-02-01,2024-03-31,2023-09-30,92,2208,65,27,2,63,4
2024 1,2024,1,24,24,2024-01-01,2024-04-30,2024-05-01,2024-06-30,2023-12-31,91,2184,65,26,1,64,5
2024 2,2024,2,24,24,2024-04-01,2024-07-31,2024-08-01,2024-09-30,2024-03-30,91,2184,65,26,1,64,5
2024 3,2024,3,24,24,2024-07-01,2024-10-31,2024-11-01,2024-12-30,2024-06-30,92,2208,66,26,0,66,5
2024 4,2024,4,24,24,2024-10-01,2025-01-31,2025-02-01,2025-03-31,2024-09-30,92,2208,66,26,2,64,5
2025 1,2025,1,25,25,2025-01-01,2025-04-30,2025-05-01,2025-06-30,2024-12-31,90,2160,64,26,1,63,6
2025 2,2025,2,25,25,2025-04-01,2025-07-31,2025-08-01,2025-09-30,2025-03-30,91,2184,65,26,1,64,6
2025 3,2025,3,25,25,2025-07-01,2025-10-31,2025-11-01,2025-12-30,2025-06-30,92,2208,66,26,0,66,6
2025 4,2025,4,25,25,2025-10-01,2026-01-31,2026-02-01,2026-03-31,2025-09-30,92,2208,66,26,2,64,6
2026 1,2026,1,26,26,2026-01-01,2026-04-30,2026-05-01,2026-06-30,2025-12-31,90,2160,64,26,1,63,7
2026 2,2026,2,26,26,2026-04-01,2026-07-31,2026-08-01,2026-09-30,2026-03-30,91,2184,65,26,1,64,7
2026 3,2026,3,26,26,2026-07-01,2026-10-31,2026-11-01,2026-12-30,2026-06-30,92,2208,66,26,0,66,7
2026 4,2026,4,26,26,2026-10-01,2027-01-31,2027-02-01,2027-03-31,2026-09-30,92,2208,66,26,2,65,7
2027 1,2027,1,27,27,2027-01-01,2027-04-30,2027-05-01,2027-06-30,2026-12-31,90,2160,64,26,1,63,8
2027 2,2027,2,27,27,2027-04-01,2027-07-31,2027-08-01,2027-09-30,2027-03-30,91,2184,65,26,1,65,8
2027 3,2027,3,27,27,2027-07-01,2027-10-31,2027-11-01,2027-12-30,2027-06-30,92,2208,66,26,0,66,8
2027 4,2027,4,27,27,2027-10-01,2028-01-31,2028-02-01,2028-03-31,2027-09-30,92,2208,66,26,2,66,8
2028 1,2028,1,28,28,2028-01-01,2028-04-30,2028-05-01,2028-06-30,2027-12-31,91,2184,65,26,1,65,9
2028 2,2028,2,28,28,2028-04-01,2028-07-31,2028-08-01,2028-09-30,2028-03-30,91,2184,65,26,1,64,9
2028 3,2028,3,28,28,2028-07-01,2028-10-31,2028-11-01,2028-12-30,2028-06-30,92,2208,65,27,0,65,9
2028 4,2028,4,28,28,2028-10-01,2029-01-31,2029-02-01,2029-03-31,2028-09-30,92,2208,65,27,2,63,9
2029 1,2029,1,29,29,2029-01-01,2029-04-30,2029-05-01,2029-06-30,2028-12-31,90,2160,65,25,1,64,10
2029 2,2029,2,29,29,2029-04-01,2029-07-31,2029-08-01,2029-09-30,2029-03-30,91,2184,65,26,1,64,10
2029 3,2029,3,29,29,2029-07-01,2029-10-31,2029-11-01,2029-12-30,2029-06-30,92,2208,65,27,0,65,10
2029 4,2029,4,29,29,2029-10-01,2030-01-31,2030-02-01,2030-03-31,2029-09-30,92,2208,66,26,2,64,10
2030 1,2030,1,30,30,2030-01-01,2030-04-30,2030-05-01,2030-06-30,2029-12-31,90,2160,64,26,1,63,11
2030 2,2030,2,30,30,2030-04-01,2030-07-31,2030-08-01,2030-09-30,2030-03-30,91,2184,65,26,1,64,11
2030 3,2030,3,30,30,2030-07-01,2030-10-31,2030-11-01,2030-12-30,2030-06-30,92,2208,66,26,0,66,11
2030 4,2030,4,30,30,2030-10-01,2031-01-31,2031-02-01,2031-03-31,2030-09-30,92,2208,66,26,2,64,11
2031 1,2031,1,31,31,2031-01-01,2031-04-30,2031-05-01,2031-06-30,2030-12-31,90,2160,64,26,1,63,12
2031 2,2031,2,31,31,2031-04-01,2031-07-31,2031-08-01,2031-09-30,2031-03-30,91,2184,65,26,1,64,12
2031 3,2031,3,31,31,2031-07-01,2031-10-31,2031-11-01,2031-12-30,2031-06-30,92,2208,66,26,0,66,12
2031 4,2031,4,31,31,2031-10-01,2032-01-31,2032-02-01,2032-03-31,2031-09-30,92,2208,66,26,2,64,12
2032 1,2032,1,32,32,2032-01-01,2032-04-30,2032-05-01,2032-06-30,2031-12-31,91,2184,65,26,1,64,13
2032 2,2032,2,32,32,2032-04-01,2032-07-31,2032-08-01,2032-09-30,2032-03-30,91,2184,65,26,1,65,13
2032 3,2032,3,32,32,2032-07-01,2032-10-31,2032-11-01,2032-12-30,2032-06-30,92,2208,66,26,0,66,13
2032 4,2032,4,32,32,2032-10-01,2033-01-31,2033-02-01,2033-03-31,2032-09-30,92,2208,66,26,2,66,13
2033 1,2033,1,33,33,2033-01-01,2033-04-30,2033-05-01,2033-06-30,2032-12-31,90,2160,64,26,1,64,14
2033 2,2033,2,33,33,2033-04-01,2033-07-31,2033-08-01,2033-09-30,2033-03-30,91,2184,65,26,1,65,14
2033 3,2033,3,33,33,2033-07-01,2033-10-31,2033-11-01,2033-12-30,2033-06-30,92,2208,66,26,0,66,14
2033 4,2033,4,33,33,2033-10-01,2034-01-31,2034-02-01,2034-03-31,2033-09-30,92,2208,65,27,2,64,14
2034 1,2034,1,34,34,2034-01-01,2034-04-30,2034-05-01,2034-06-30,2033-12-31,90,2160,65,25,1,65,15
2034 2,2034,2,34,34,2034-04-01,2034-07-31,2034-08-01,2034-09-30,2034-03-30,91,2184,65,26,1,64,15
2034 3,2034,3,34,34,2034-07-01,2034-10-31,2034-11-01,2034-12-30,2034-06-30,92,2208,65,27,0,65,15
2034 4,2034,4,34,34,2034-10-01,2035-01-31,2035-02-01,2035-03-31,2034-09-30,92,2208,65,27,2,63,15
2035 1,2035,1,35,35,2035-01-01,2035-04-30,2035-05-01,2035-06-30,2034-12-31,90,2160,65,25,1,64,16
2035 2,2035,2,35,35,2035-04-01,2035-07-31,2035-08-01,2035-09-30,2035-03-30,91,2184,65,26,1,64,16
2035 3,2035,3,35,35,2035-07-01,2035-10-31,2035-11-01,2035-12-30,2035-06-30,92,2208,65,27,0,65,16
2035 4,2035,4,35,35,2035-10-01,2036-01-31,2036-02-01,2036-03-31,2035-09-30,92,2208,66,26,2,64,16
2036 1,2036,1,36,36,2036-01-01,2036-04-30,2036-05-01,2036-06-30,2035-12-31,91,2184,65,26,1,64,17
2036 2,2036,2,36,36,2036-04-01,2036-07-31,2036-08-01,2036-09-30,2036-03-30,91,2184,65,26,1,64,17
2036 3,2036,3,36,36,2036-07-01,2036-10-31,2036-11-01,2036-12-30,2036-06-30,92,2208,66,26,0,66,17
2036 4,2036,4,36,36,2036-10-01,2037-01-31,2037-02-01,2037-03-31,2036-09-30,92,2208,66,26,2,64,17
